--_BeginData_
NUS|Megamind|35,569.72|49,292.58|38.58
NTU|ES|95,946.34|131,899.62|37.47
SMU|TooManyMoolah|91,944.31|120,663.82|31.24
NTU|Short Term Capital Management|93,269.52|115,269.52|23.59
NTU|BiXeL|91,506.79|109,645.83|19.82
NUS|Vegetables|80,686.33|96,486.33|19.58
SMU|Pinnacle Trading|94,769.63|112,963.4|19.2
SMU|Analytics|97,855.52|114,250.18|16.75
NTU|ANQ|112,636.41|131,306.6|16.58
NUS|WWK|79,824.7|91,392.55|14.49
NP|StocKings|112,678.88|128,908.24|14.4
NTU|Spartacus|99,565.16|113,155.72|13.65
NTU|investeam|87,119.6|98,929.6|13.56
NUS|GX|110,796.25|125,747.74|13.49
TP|Halcyon|109,086.5|123,684.44|13.38
SMU|Catalyst|95,816.06|108,102.76|12.82
NUS|Rio|99,086.91|110,954.91|11.98
NTU|The awakening|84,687.47|94,311.2|11.36
NTU|Klax|103,419.97|115,121.83|11.31
SIM|Legacy|94,406.33|105,066.33|11.29
NTU|Martingale|97,536.07|108,015.72|10.74
NTU|Friends|107,082.23|118,066.34|10.26
NUS|Inductor|81,332.73|89,569.14|10.13
TP|prestige|77,807.23|85,647.61|10.08
SIM|Neotactics|96,100.32|105,460.32|9.74
NTU|Alpha Turtles|91,679.94|100,423.97|9.54
NUS|Volatility|86,746.33|94,996.33|9.51
NUS|Hunger|76,860.27|84,131.99|9.46
NTU|Beta Invertors|96,212.56|104,935.56|9.07
SMU|SMU Alpha Seekers|120,592.14|130,756.49|8.43
NUS|THOTH|105,244.37|113,909.87|8.23
SP|Rags to Riches|99,942.83|108,144.99|8.21
NTU|1081|95,691.86|103,410.04|8.07
SIM|speculators|88,425.21|95,551.34|8.06
NUS|Born.To.Win|95,935.71|103,552.75|7.94
NTU|emosewa|108,477.74|117,085.84|7.94
NUS|NUSMU|98,563.94|106,286.47|7.84
NP|We trade, We make, We hire you|96,278.47|103,798.02|7.81
NTU|Underdogs|97,641.59|105,121.65|7.66
NTU|ABC|97,996.17|105,467.56|7.62
SIM|Hustler|100,612.65|108,195.2|7.54
NTU|Ah Huat|98,746.37|106,086.62|7.43
NTU|WC Trust Fund|118,221.89|126,410.28|6.93
NTU|2304 Team Charlie|103,833.61|110,837.98|6.75
NUS|HLC United|99,699.25|106,411.3|6.73
NTU|Simplicity|77,070.42|82,238.74|6.71
SMU|Damage Control|107,591.41|114,787.83|6.69
SIM|slackerclub|79,937.58|85,234.04|6.63
SMU|siongmin|100,447.13|106,932.21|6.46
NUS|Geeks Up|111,867.55|119,068.31|6.44
NP|Hunter|96,522.98|102,730.98|6.43
NUS|Stock Monkeys|80,000|85,093.97|6.37
NUS|Echo|81,766.6|86,971.39|6.37
NUS|Polaris|98,817.27|105,076.66|6.33
SP|SP Traders|88,079.84|93,619.46|6.29
NTU|Investing Guru|98,726.3|104,679.41|6.03
NTU|TL|80,410.83|85,215.83|5.98
OU|BGS Capital|83,896.7|88,897.9|5.96
SIM|TEAM SY|98,761.92|104,569.56|5.88
NUS|MW Fund|96,009.28|101,596.22|5.82
NTU|WinWin|109,378.74|115,722.22|5.8
